pre,post,value
AWCR,AIBL,1
AWCR,AIBR,1
AWCR,RIAL,1
AWCR,RIVL,1
ASKL,ASJL,1
ASKL,ASER,1
ASKL,AIML,1
ASKL,AIAL,1
ASKL,AIBL,1
ASKR,AWAR,1
ASKR,ASGR,1
ASKR,ASER,1
ASKR,ADLR,1
ASKR,CEPVR,1
ASKR,AIMR,1
ASKR,AIAL,1
ASKR,AIAR,1
ASKR,ALA,1
ASKR,RIFR,1
ASKR,AIBR,1
ASKR,HSNL,1
ASHL,ADFL,1
ASHL,ASKL,1
ASHL,ADLL,1
ASHL,URXL,1
ASHL,RIR,1
ASHL,AIAL,1
ASHL,AIZL,1
ASHL,ADAL,1
ASHL,AVFL,1
ASHL,AVHR,1
ASHL,AIBL,1
ASHL,AVDL,1
ASHL,AVDR,1
ASHL,RIAL,1
ASHL,RIML,1
ASHL,AVBL,1
ASHL,AVAL,1
ASHL,AVAR,1
ASHL,RIPL,1
ASHL,HSNL,1
ASHR,AWAR,1
ASHR,AWBL,1
ASHR,ADFR,1
ASHR,ASHR,1
ASHR,ADLR,1
ASHR,AIAR,1
ASHR,ADAR,1
ASHR,AVHL,1
ASHR,PVPR,1
ASHR,RMGR,1
ASHR,AIBR,1
ASHR,AVDL,1
ASHR,AVDR,1
ASHR,RIAR,1
ASHR,AVER,1
ASHR,AVBR,1
ASHR,AVAR,1
ASHR,PVCL,1
ASHR,SMBVR,1
ASHR,HSNL,1
ASHR,HSNR,1
ADLL,AWAL,1
ADLL,ASGL,1
ADLL,AWBL,1
ADLL,ASEL,1
ADLL,ASER,1
ADLL,AWCL,1
ADLL,ASHL,1
ADLL,OLQVL,1
ADLL,RIR,1
ADLL,AIAL,1
ADLL,ALA,1
ADLL,ADAL,1
ADLL,RIGL,1
ADLL,AIBL,1
ADLL,AVJL,1
ADLL,AVJR,1
ADLL,AVDL,1
ADLL,AVDR,1
ADLL,RIAL,1
ADLL,AVBL,1
ADLL,AVAL,1
ADLL,AVAR,1
ADLL,RIPL,1
ADLL,SMBVL,1
ADLR,ASER,1
ADLR,AWCR,1
ADLR,ASHR,1
ADLR,ADLR,1
ADLR,URXR,1
ADLR,CEPVR,1
ADLR,OLLR,1
ADLR,OLQVR,1
ADLR,URBR,1
ADLR,AIAR,1
ADLR,ADAR,1
ADLR,RIFR,1
ADLR,AIBR,1
ADLR,RICL,1
ADLR,RICR,1
ADLR,AVJL,1
ADLR,AVJR,1
ADLR,AVDL,1
ADLR,AVDR,1
ADLR,AVBL,1
ADLR,AVBR,1
ADLR,AVAR,1
ADLR,PVCL,1
ADLR,RIPR,1
ADLR,SMBVR,1
ADLR,SIBVL,1
BAGL,ADFR,1
BAGL,BAGR,1
BAGL,URXR,1
BAGL,CEPVR,1
BAGL,AINL,1
BAGL,AUAR,1
BAGL,AIZR,1
BAGL,RIBR,1
BAGL,RIGL,1
BAGL,RIGR,1
BAGL,AIBL,1
BAGL,RIAR,1
BAGL,AVEL,1
BAGL,AVER,1
BAGL,RID,1
BAGL,AVAR,1
BAGL,RIPR,1
BAGL,URAVR,1
BAGL,RIVR,1
BAGL,CEPshVR,1
BAGR,BAGL,1
BAGR,AQR,1
BAGR,OLQVL,1
BAGR,AIYL,1
BAGR,RIBL,1
BAGR,RIBR,1
BAGR,RIGL,1
BAGR,RIAL,1
BAGR,AVEL,1
BAGR,AVAL,1
BAGR,SMDVL,1
URXL,ASIL,1
URXL,ADFL,1
URXL,ASHL,1
URXL,BAGR,1
URXL,URXL,1
URXL,IL2L,1
URXL,CEPDL,1
URXL,OLQVL,1
URXL,IL1DL,1
URXL,AIML,1
URXL,RIR,1
URXL,AUAL,1
URXL,AIZL,1
URXL,ADAL,1
URXL,RIGL,1
URXL,RMGL,1
URXL,RICL,1
URXL,AVJR,1
URXL,AVDR,1
URXL,RIAL,1
URXL,AVEL,1
URXL,RID,1
URXL,AVBL,1
URXL,AVAL,1
URXL,HSNR,1
URXR,AWBR,1
URXR,ADFR,1
URXR,ADLR,1
URXR,ALMR,1
URXR,CEPDR,1
URXR,OLQVR,1
URXR,AIMR,1
URXR,URBR,1
URXR,RIR,1
URXR,AUAR,1
URXR,ADAR,1
URXR,RIFR,1
URXR,RIGR,1
URXR,RMGR,1
URXR,RICR,1
URXR,RIAR,1
URXR,AVER,1
URXR,AVBL,1
URXR,AVBR,1
URXR,AVAR,1
URXR,RIPR,1
URXR,RMDDL,1
URXR,RMDR,1
URXR,SMBVR,1
URXR,SIADL,1
URXR,SIAVR,1
ALNL,RMGL,1
ALNL,SAAVL,1
ALNL,RIAL,1
ALNL,RMDDR,1
ALNL,RMHL,1
ALNL,SMDVL,1
ALNL,SMBDR,1
ALNL,SIADR,1
ALNR,ADER,1
ALNR,SAAVR,1
ALNR,RIML,1
ALNR,AVAL,1
ALNR,SMDDR,1
ALNR,SMDVL,1
ALNR,SMBDL,1
PLNL,SAADL,1
PLNL,SMBVL,1
PLNL,SIAVL,1
PLNR,SAADR,1
PLNR,SAAVL,1
PLNR,RMDVL,1
PLNR,SMDVL,1
PLNR,SMBVR,1
PLNR,SIAVR,1
SDQL,ALML,1
SDQL,FLPL,1
SDQL,DVA,1
SDQL,RIS,1
SDQL,PVR,1
SDQL,AIBR,1
SDQL,RICR,1
SDQL,SAADR,1
SDQL,AVDL,1
SDQL,AVEL,1
SDQL,RMFL,1
SDQL,AVBL,1
SDQL,AVBR,1
SDQL,AVAL,1
SDQL,AVAR,1
SDQL,PVCL,1
SDQL,RIPR,1
SDQL,SMBDR,1
SDQL,SIBVL,1
SDQL,SIADR,1
SDQR,ADLL,1
SDQR,SDQL,1
SDQR,ALML,1
SDQR,DVA,1
SDQR,AIBL,1
SDQR,RICL,1
SDQR,RICR,1
SDQR,AVBL,1
SDQR,AVBR,1
SDQR,AVAL,1
SDQR,RMHL,1
SDQR,RMHR,1
SDQR,SIADL,1
SDQR,vBWMR7,1
AQR,BAGL,1
AQR,BAGR,1
AQR,URXL,1
AQR,DVA,1
AQR,RIR,1
AQR,PVPL,1
AQR,PVPR,1
AQR,RIGL,1
AQR,AVJL,1
AQR,AVDL,1
AQR,AVDR,1
AQR,RIAL,1
AQR,RIAR,1
AQR,AVBL,1
AQR,AVBR,1
AQR,AVAL,1
AQR,AVAR,1
AQR,PVCL,1
AQR,PVCR,1
PQR,PHBL,1
PQR,AVHL,1
PQR,PVPR,1
PQR,LUAR,1
PQR,PVNL,1
PQR,AVG,1
PQR,AVJR,1
PQR,AVDL,1
PQR,AVDR,1
PQR,AVAL,1
PQR,AVAR,1
PQR,PVCL,1
PQR,PVCR,1
PQR,DA08,1
PQR,DB07,1
PQR,AS11,1
ALML,SDQL,1
ALML,ALML,1
ALML,CEPDL,1
ALML,CEPVL,1
ALML,AIML,1
ALML,RIFL,1
ALML,BDUL,1
ALML,RMGL,1
ALML,RICL,1
ALML,RICR,1
ALML,AVDR,1
ALML,AVEL,1
ALML,PVCL,1
ALML,PVCR,1
ALML,RMDDR,1
ALML,SMBDR,1
ALML,hyp,1
ALMR,CEPDR,1
ALMR,CEPVR,1
ALMR,URBR,1
ALMR,BDUR,1
ALMR,PVCR,1
ALMR,RMDDL,1
ALMR,SMDDL,1
ALMR,SIADL,1
AVM,ADER,1
AVM,BDUL,1
AVM,BDUR,1
AVM,PVR,1
AVM,AVHL,1
AVM,PVNL,1
AVM,PVNR,1
AVM,AVKL,1
AVM,AVJR,1
AVM,AVDL,1
AVM,AVDR,1
AVM,RID,1
AVM,AVBL,1
AVM,AVBR,1
AVM,PVCL,1
AVM,PVCR,1
AVM,SIBVL,1
AVM,DA01,1
AVM,VA02,1
AVM,VB03,1
AVM,hyp,1
PVM,AVM,1
PVM,PVM,1
PVM,DVA,1
PVM,PDEL,1
PVM,PDER,1
PVM,PVR,1
PVM,AVKL,1
PVM,PVCL,1
PVM,PVCR,1
PVM,vBWMR10,1
PVM,hyp,1
PLML,DVA,1
PLML,PDEL,1
PLML,PDER,1
PLML,AVDR,1
PLML,AVAL,1
PLML,AVAR,1
PLML,VA09,1
PLML,hyp,1
PLMR,DVA,1
PLMR,PDEL,1
PLMR,PDER,1
PLMR,AVDL,1
PLMR,AVDR,1
PLMR,AVAL,1
PLMR,AVAR,1
FLPL,FLPR,1
FLPL,DVA,1
FLPL,ADEL,1
FLPL,ADER,1
FLPL,RIS,1
FLPL,AIBL,1
FLPL,AIBR,1
FLPL,AVDL,1
FLPL,AVDR,1
FLPL,AVBL,1
FLPL,AVBR,1
FLPL,AVAL,1
FLPL,AVAR,1
FLPL,PVCR,1
FLPL,DD01,1
FLPL,VA01,1
FLPL,hyp,1
FLPR,FLPL,1
FLPR,DVA,1
FLPR,ADER,1
FLPR,ADAL,1
FLPR,ADAR,1
FLPR,AVJL,1
FLPR,AVJR,1
FLPR,AVDL,1
FLPR,AVDR,1
FLPR,AVEL,1
FLPR,AVER,1
FLPR,AVBL,1
FLPR,AVBR,1
FLPR,AVAL,1
FLPR,AVAR,1
FLPR,PVCL,1
FLPR,VB01,1
FLPR,hyp,1
DVA,URXL,1
DVA,AQR,1
DVA,PDEL,1
DVA,URYDL,1
DVA,RIR,1
DVA,AUAL,1
DVA,AUAR,1
DVA,AIZL,1
DVA,AIZR,1
DVA,PVR,1
DVA,PVPR,1
DVA,SAADR,1
DVA,SAAVL,1
DVA,SAAVR,1
DVA,AVDR,1
DVA,RIAL,1
DVA,RIAR,1
DVA,RIMR,1
DVA,AVEL,1
DVA,AVER,1
DVA,AVBL,1
DVA,AVBR,1
DVA,AVAL,1
DVA,AVAR,1
DVA,PVCL,1
DVA,PVCR,1
DVA,SABD,1
DVA,SMDVL,1
DVA,SMBDL,1
DVA,SMBDR,1
DVA,SMBVL,1
DVA,SMBVR,1
DVA,DA02,1
DVA,DB02,1
DVA,DB03,1
DVA,DB04,1
DVA,DB07,1
DVA,VA02,1
DVA,VA06,1
DVA,VA08,1
DVA,VA12,1
DVA,VB01,1
DVA,VB07,1
DVA,VB11,1
DVA,vBWML22,1
DVA,hyp,1
PVDL,PVDR,1
PVDL,AVFL,1
PVDL,PVPL,1
PVDL,AVG,1
PVDL,AVDL,1
PVDL,AVDR,1
PVDL,AVAL,1
PVDL,AVAR,1
PVDL,PVCL,1
PVDL,PVCR,1
PVDL,DD05,1
PVDL,VD10,1
PVDL,hyp,1
PVDR,DVA,1
PVDR,PVDL,1
PVDR,PVR,1
PVDR,AVDL,1
PVDR,AVAL,1
PVDR,AVAR,1
PVDR,PVCL,1
PVDR,PVCR,1
PVDR,VA09,1
PVDR,VA12,1
PVDR,VB05,1
PVDR,VB06,1
PVDR,hyp,1
ADEL,ALML,1
ADEL,FLPL,1
ADEL,ADEL,1
ADEL,ADER,1
ADEL,IL2L,1
ADEL,CEPDL,1
ADEL,CEPVL,1
ADEL,OLLL,1
ADEL,IL1L,1
ADEL,RIH,1
ADEL,URBL,1
ADEL,ADAL,1
ADEL,RIFL,1
ADEL,BDUL,1
ADEL,AVHL,1
ADEL,RIGL,1
ADEL,RIGR,1
ADEL,RMGL,1
ADEL,SAADR,1
ADEL,AVDL,1
ADEL,AVL,1
ADEL,RIAL,1
ADEL,AVEL,1
ADEL,AVAL,1
ADEL,AVAR,1
ADEL,RMER,1
ADEL,RMDL,1
ADEL,RIVL,1
ADEL,RIVR,1
ADEL,RMHL,1
ADEL,RMHR,1
ADEL,SMBDR,1
ADEL,SMBVL,1
ADEL,SIBDR,1
ADEL,SIADR,1
ADEL,VB01,1
ADEL,dBWML3,1
ADEL,dBWML5,1
ADEL,vBWML1,1
ADEL,hyp,1
ADER,ASIR,1
ADER,URXR,1
ADER,ALNR,1
ADER,FLPL,1
ADER,FLPR,1
ADER,ADEL,1
ADER,IL2R,1
ADER,CEPDR,1
ADER,CEPVR,1
ADER,OLLR,1
ADER,IL1R,1
ADER,URBR,1
ADER,ADAR,1
ADER,RIGL,1
ADER,RIGR,1
ADER,RMGR,1
ADER,AVJR,1
ADER,AVDR,1
ADER,RIAR,1
ADER,AVER,1
ADER,AVAL,1
ADER,AVAR,1
ADER,RMDL,1
ADER,RMDR,1
ADER,SMDVR,1
ADER,dBWMR4,1
ADER,CEPshDR,1
PDEL,PVM,1
PDEL,DVA,1
PDEL,PDER,1
PDEL,PVR,1
PDEL,AVKL,1
PDEL,hyp,1
PDER,PVM,1
PDER,DVA,1
PDER,AVKL,1
PDER,PVCL,1
PDER,PVCR,1
PDER,VB02,1
PDER,hyp,1
PHAL,DVA,1
PHAL,PHAR,1
PHAL,PHBL,1
PHAL,PHBR,1
PHAL,PVQL,1
PHAL,AVFL,1
PHAL,AVHL,1
PHAL,AVHR,1
PHAL,AVG,1
PHAL,AVDR,1
PHAL,DA08,1
PHAR,DVA,1
PHAR,PHAL,1
PHAR,PHBL,1
PHAR,PHBR,1
PHAR,PVQL,1
PHAR,PVQR,1
PHAR,AVHR,1
PHAR,PVPL,1
PHAR,AVG,1
PHAR,PVT,1
PHAR,AVDR,1
PHAR,DA08,1
PHBL,PHBR,1
PHBL,PVNL,1
PHBL,AVG,1
PHBL,AVDL,1
PHBL,AVDR,1
PHBL,AVAL,1
PHBL,AVAR,1
PHBL,PVCL,1
PHBL,DA08,1
PHBL,AS11,1
PHBL,VA12,1
PHBL,hyp,1
PHBR,PHBL,1
PHBR,PHCL,1
PHBR,PHCR,1
PHBR,AVDL,1
PHBR,AVDR,1
PHBR,AVAL,1
PHBR,AVAR,1
PHBR,PVCL,1
PHBR,PVCR,1
PHBR,VA12,1
PHCL,DVA,1
PHCL,PHAR,1
PHCL,PHCR,1
PHCL,PVQR,1
PHCL,AVHR,1
PHCL,LUAL,1
PHCL,AVAL,1
PHCL,PVCL,1
PHCL,DA09,1
PHCL,VA12,1
PHCR,DVA,1
PHCR,PHAR,1
PHCR,PHCL,1
PHCR,PVQR,1
PHCR,AVHR,1
PHCR,LUAR,1
PHCR,PVCR,1
PHCR,DA09,1
PHCR,VA12,1
IL2DL,IL2DL,1
IL2DL,OLQDL,1
IL2DL,IL1DL,1
IL2DL,RIH,1
IL2DL,AUAL,1
IL2DL,RIBL,1
IL2DL,AVBR,1
IL2DL,RIPL,1
IL2DL,URADL,1
IL2DL,RMEL,1
IL2DL,RMER,1
IL2DL,RMED,1
IL2DL,RMEV,1
IL2DL,RMHL,1
IL2DR,CEPDR,1
IL2DR,OLQDR,1
IL2DR,IL1DR,1
IL2DR,RICL,1
IL2DR,RICR,1
IL2DR,RIPL,1
IL2DR,RIPR,1
IL2DR,URADR,1
IL2DR,RMEL,1
IL2DR,RMER,1
IL2DR,RMED,1
IL2DR,RMEV,1
IL2L,URXL,1
IL2L,ADEL,1
IL2L,OLQDL,1
IL2L,OLQVL,1
IL2L,IL1L,1
IL2L,RIH,1
IL2L,RICL,1
IL2L,AVEL,1
IL2L,URAVL,1
IL2L,RMER,1
IL2L,RMEV,1
IL2L,RMDR,1
IL2R,URXR,1
IL2R,ADER,1
IL2R,OLLR,1
IL2R,OLQDR,1
IL2R,OLQVR,1
IL2R,IL1R,1
IL2R,RIH,1
IL2R,URBR,1
IL2R,RMGR,1
IL2R,AVER,1
IL2R,URADR,1
IL2R,URAVR,1
IL2R,RMEL,1
IL2R,RMEV,1
IL2R,RMDL,1
IL2VL,BAGR,1
IL2VL,IL2L,1
IL2VL,OLQVL,1
IL2VL,IL1VL,1
IL2VL,RIH,1
IL2VL,DVC,1
IL2VL,RIAL,1
IL2VL,RIPL,1
IL2VL,URAVL,1
IL2VL,RMEL,1
IL2VL,RMER,1
IL2VL,RMEV,1
IL2VR,ADLR,1
IL2VR,URXR,1
IL2VR,OLQVR,1
IL2VR,IL1VR,1
IL2VR,RIH,1
IL2VR,RIAR,1
IL2VR,AVAL,1
IL2VR,RIPR,1
IL2VR,URAVR,1
IL2VR,RMEL,1
IL2VR,RMER,1
IL2VR,RMED,1
IL2VR,RMEV,1
IL2VR,SIADR,1
IL2VR,CEPshVR,1
CEPDL,AFDL,1
CEPDL,ALML,1
CEPDL,IL2DL,1
CEPDL,CEPDR,1
CEPDL,URYDL,1
CEPDL,OLLL,1
CEPDL,OLQDL,1
CEPDL,IL1DL,1
CEPDL,AINL,1
CEPDL,RIH,1
CEPDL,URBL,1
CEPDL,RIS,1
CEPDL,RIBL,1
CEPDL,RMGL,1
CEPDL,RICL,1
CEPDL,RICR,1
CEPDL,AVER,1
CEPDL,RIPL,1
CEPDL,URADL,1
CEPDL,RMDDL,1
CEPDL,RMDVL,1
CEPDL,RMHL,1
CEPDL,RMHR,1
CEPDL,SMBDR,1
CEPDL,SIBDR,1
CEPDL,SIADR,1
CEPDL,dBWML5,1
CEPDR,URXR,1
CEPDR,CEPDR,1
CEPDR,URYDR,1
CEPDR,OLLR,1
CEPDR,OLQDR,1
CEPDR,IL1DR,1
CEPDR,IL1R,1
CEPDR,RIH,1
CEPDR,URBR,1
CEPDR,RIFR,1
CEPDR,BDUR,1
CEPDR,RIBR,1
CEPDR,RMGR,1
CEPDR,RICL,1
CEPDR,RICR,1
CEPDR,AVEL,1
CEPDR,URADR,1
CEPDR,RMDR,1
CEPDR,RMDVR,1
CEPDR,RMHL,1
CEPDR,RMHR,1
CEPDR,SMBDL,1
CEPDR,SIBVR,1
CEPDR,dBWMR3,1
CEPDR,dBWMR5,1
CEPVL,URXL,1
CEPVL,URYVL,1
CEPVL,OLLL,1
CEPVL,OLQVL,1
CEPVL,IL1VL,1
CEPVL,PVR,1
CEPVL,RIBL,1
CEPVL,RMGL,1
CEPVL,RICL,1
CEPVL,RICR,1
CEPVL,RIAL,1
CEPVL,AVER,1
CEPVL,RIPL,1
CEPVL,URAVL,1
CEPVL,RMDDL,1
CEPVL,RMDVR,1
CEPVL,RMHL,1
CEPVL,RMHR,1
CEPVL,SMDVR,1
CEPVL,SMBVL,1
CEPVL,SIAVL,1
CEPVL,vBWML5,1
